timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gnss_valid,gnss_lat,gnss_lon,gnss_speed_mps,gnss_course_deg
1735000000000,0.0,-0.0,9.81,0.0,-0.0,0.0,20.0,-5.0,40.0,1,28.6139,77.209,12.0,45.0
1735000000100,0.05,-0.02,9.82,0.001,-0.0005,0.002,20.1,-4.95,39.98,1,28.614,77.2091,12.1,45.5
1735000000200,0.1,-0.04,9.81,0.002,-0.001,0.004,20.2,-4.9,39.96,1,28.6141,77.2092,12.2,46.0
1735000000300,0.15,-0.0,9.82,0.003,-0.0,0.006,20.3,-4.85,39.94,1,28.6142,77.2093,12.3,46.5
1735000000400,0.2,-0.02,9.81,0.0,-0.0005,0.008,20.4,-4.8,39.92,1,28.6143,77.2094,12.4,47.0
1735000000500,0.0,-0.04,9.82,0.001,-0.001,0.01,20.5,-4.75,39.9,1,28.6144,77.2095,12.5,47.5
1735000000600,0.05,-0.0,9.81,0.002,-0.0,0.0,20.6,-4.7,39.88,1,28.6145,77.2096,12.6,48.0
1735000000700,0.1,-0.02,9.82,0.003,-0.0005,0.002,20.7,-4.65,39.86,1,28.6146,77.2097,12.7,48.5
1735000000800,0.15,-0.04,9.81,0.0,-0.001,0.004,20.8,-4.6,39.84,1,28.6147,77.2098,12.8,49.0
1735000000900,0.2,-0.0,9.82,0.001,-0.0,0.006,20.9,-4.55,39.82,1,28.6148,77.2099,12.9,49.5
1735000001000,0.0,-0.02,9.81,0.002,-0.0005,0.008,21.0,-4.5,39.8,0,,,,
1735000001100,0.05,-0.04,9.82,0.003,-0.001,0.01,21.1,-4.45,39.78,0,,,,
1735000001200,0.1,-0.0,9.81,0.0,-0.0,0.0,21.2,-4.4,39.76,0,,,,
1735000001300,0.15,-0.02,9.82,0.001,-0.0005,0.002,21.3,-4.35,39.74,0,,,,
1735000001400,0.2,-0.04,9.81,0.002,-0.001,0.004,21.4,-4.3,39.72,0,,,,
1735000001500,0.0,-0.0,9.82,0.003,-0.0,0.006,21.5,-4.25,39.7,0,,,,
1735000001600,0.05,-0.02,9.81,0.0,-0.0005,0.008,21.6,-4.2,39.68,0,,,,
1735000001700,0.1,-0.04,9.82,0.001,-0.001,0.01,21.7,-4.15,39.66,0,,,,
1735000001800,0.15,-0.0,9.81,0.002,-0.0,0.0,21.8,-4.1,39.64,0,,,,
1735000001900,0.2,-0.02,9.82,0.003,-0.0005,0.002,21.9,-4.05,39.62,0,,,,
1735000002000,0.0,-0.04,9.81,0.0,-0.001,0.004,22.0,-4.0,39.6,1,28.6159,77.211,14.0,55.0
1735000002100,0.05,-0.0,9.82,0.001,-0.0,0.006,22.1,-3.95,39.58,1,28.616,77.2111,14.1,55.5
1735000002200,0.1,-0.02,9.81,0.002,-0.0005,0.008,22.2,-3.9,39.56,1,28.6161,77.2112,14.2,56.0
1735000002300,0.15,-0.04,9.82,0.003,-0.001,0.01,22.3,-3.85,39.54,1,28.6162,77.2113,14.3,56.5
1735000002400,0.2,-0.0,9.81,0.0,-0.0,0.0,22.4,-3.8,39.52,1,28.6163,77.2114,14.4,57.0
1735000002500,0.0,-0.02,9.82,0.001,-0.0005,0.002,22.5,-3.75,39.5,1,28.6164,77.2115,14.5,57.5
1735000002600,0.05,-0.04,9.81,0.002,-0.001,0.004,22.6,-3.7,39.48,1,28.6165,77.2116,14.6,58.0
1735000002700,0.1,-0.0,9.82,0.003,-0.0,0.006,22.7,-3.65,39.46,1,28.6166,77.2117,14.7,58.5
1735000002800,0.15,-0.02,9.81,0.0,-0.0005,0.008,22.8,-3.6,39.44,1,28.6167,77.2118,14.8,59.0
1735000002900,0.2,-0.04,9.82,0.001,-0.001,0.01,22.9,-3.55,39.42,1,28.6168,77.2119,14.9,59.5
